Feature,RF_Importance,XGB_Importance
early_yield_cv,0.6535176105294529,0.42481577
early_yield_mean,0.07284522507300223,0.057162788
T2M_std_change,0.04057028898479764,0.0598975
NDVI_std_change,0.03827675708036078,0.052267842
T2M_max_change,0.029949355995508724,0.046234477
ALLSKY_SFC_SW_DWN_mean_change,0.029110125769484595,0.051575772
T2M_mean_change,0.026788587907354323,0.03879369
RH2M_mean_change,0.026232173181131815,0.038598787
extreme_heat_days_change,0.02326283244021047,0.06232475
NDVI_mean_change,0.022353353193142064,0.04973881
NDWI_mean_change,0.018826937809366638,0.045359395
EVI_mean_change,0.01676920215811599,0.035207488
crop_soybean,0.0014975498780719048,0.03802291
